Data File,C:\Program Files\Biolog\OL_DC_23\PMX\Data_2019\02\_07-3253_Escherichia coli__2_37_PMX_438_2#19#2019_A_ 2B_3.oka
Set up Time,2/19/2019 10:40:53 AM
Position, 2-B
Plate Type,PM2
Strain Type,---
Sample Number,
Strain Name,07-3253
O-type,O121
H-type,H30
Host,Human
Strain Number,07-3253
Other,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hour,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,D01,D02,D03,D04,D05,D06,D07,D08,D09,D10,D11,D12,E01,E02,E03,E04,E05,E06,E07,E08,E09,E10,E11,E12,F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12
0.0,32.0,17.0,21.0,19.0,15.0,11.0,11.0,11.0,23.0,11.0,21.0,45.0,28.0,17.0,11.0,11.0,15.0,11.0,11.0,11.0,19.0,11.0,11.0,11.0,22.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,32.0,19.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,31.0,28.0,15.0,13.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.0,34.0,21.0,11.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,21.0,38.0,32.0,19.0,24.0,11.0,11.0,11.0,18.0,50.0,11.0,11.0,26.0
0.25,22.0,16.0,22.0,24.0,11.0,11.0,11.0,11.0,18.0,12.0,15.0,42.0,19.0,14.0,11.0,11.0,13.0,11.0,11.0,11.0,19.0,11.0,11.0,13.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,19.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.0,18.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0,23.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,25.0,21.0,11.0,12.0,11.0,11.0,11.0,11.0,51.0,11.0,11.0,17.0
0.5,24.0,18.0,18.0,20.0,11.0,11.0,11.0,11.0,19.0,12.0,18.0,48.0,18.0,15.0,11.0,11.0,13.0,11.0,11.0,11.0,19.0,11.0,11.0,13.0,17.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,18.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,23.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0,21.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,25.0,22.0,11.0,11.0,11.0,11.0,11.0,11.0,49.0,11.0,11.0,20.0
0.75,44.0,26.0,26.0,20.0,22.0,18.0,12.0,11.0,26.0,14.0,17.0,45.0,34.0,20.0,11.0,11.0,25.0,11.0,11.0,11.0,21.0,11.0,11.0,14.0,26.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,24.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,30.0,21.0,11.0,13.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,27.0,26.0,21.0,14.0,15.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,18.0,33.0,26.0,14.0,17.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,40.0,39.0,23.0,27.0,13.0,19.0,11.0,11.0,47.0,11.0,11.0,20.0
1.0,31.0,25.0,21.0,23.0,17.0,18.0,11.0,15.0,24.0,16.0,21.0,48.0,26.0,17.0,11.0,11.0,20.0,11.0,11.0,11.0,19.0,11.0,11.0,13.0,21.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,25.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,25.0,16.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,17.0,22.0,17.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,16.0,29.0,25.0,11.0,14.0,11.0,11.0,11.0,11.0,46.0,11.0,11.0,19.0
1.25,44.0,28.0,27.0,27.0,23.0,25.0,20.0,24.0,34.0,29.0,32.0,58.0,39.0,21.0,11.0,16.0,20.0,14.0,11.0,11.0,22.0,12.0,14.0,14.0,27.0,12.0,11.0,11.0,11.0,11.0,11.0,11.0,14.0,18.0,16.0,16.0,24.0,11.0,11.0,11.0,11.0,11.0,12.0,11.0,11.0,11.0,11.0,17.0,30.0,16.0,11.0,11.0,16.0,11.0,11.0,11.0,11.0,11.0,11.0,29.0,18.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,13.0,11.0,22.0,27.0,18.0,11.0,14.0,11.0,11.0,11.0,11.0,11.0,11.0,15.0,18.0,33.0,29.0,19.0,16.0,11.0,11.0,11.0,11.0,44.0,11.0,12.0,28.0
1.5,53.0,38.0,39.0,35.0,37.0,41.0,30.0,34.0,45.0,37.0,39.0,66.0,48.0,37.0,11.0,25.0,29.0,25.0,20.0,14.0,23.0,20.0,27.0,16.0,39.0,24.0,21.0,26.0,25.0,23.0,24.0,26.0,24.0,30.0,24.0,20.0,35.0,15.0,22.0,15.0,20.0,11.0,26.0,16.0,16.0,15.0,11.0,22.0,34.0,24.0,11.0,19.0,30.0,11.0,16.0,12.0,18.0,15.0,11.0,42.0,19.0,27.0,27.0,18.0,20.0,18.0,11.0,11.0,11.0,25.0,11.0,35.0,36.0,28.0,18.0,24.0,18.0,16.0,11.0,18.0,11.0,11.0,26.0,30.0,42.0,40.0,29.0,26.0,16.0,11.0,11.0,12.0,48.0,13.0,14.0,38.0
1.75,48.0,34.0,38.0,38.0,38.0,51.0,39.0,43.0,50.0,49.0,47.0,80.0,44.0,42.0,13.0,27.0,34.0,28.0,24.0,16.0,23.0,24.0,30.0,21.0,40.0,30.0,30.0,33.0,32.0,26.0,33.0,32.0,28.0,36.0,27.0,23.0,38.0,14.0,24.0,17.0,23.0,11.0,34.0,22.0,25.0,16.0,11.0,30.0,28.0,22.0,11.0,21.0,37.0,11.0,18.0,13.0,22.0,17.0,11.0,49.0,18.0,26.0,34.0,20.0,27.0,20.0,14.0,12.0,11.0,27.0,11.0,42.0,31.0,27.0,18.0,24.0,18.0,18.0,11.0,21.0,11.0,11.0,30.0,34.0,36.0,31.0,28.0,20.0,15.0,11.0,16.0,14.0,49.0,19.0,18.0,45.0
2.0,49.0,35.0,38.0,39.0,42.0,63.0,43.0,46.0,52.0,52.0,50.0,87.0,47.0,50.0,17.0,31.0,43.0,33.0,27.0,21.0,23.0,28.0,35.0,22.0,47.0,32.0,31.0,39.0,42.0,27.0,41.0,34.0,32.0,38.0,31.0,24.0,43.0,18.0,27.0,24.0,28.0,13.0,43.0,25.0,30.0,17.0,12.0,37.0,29.0,26.0,11.0,24.0,49.0,11.0,21.0,16.0,26.0,21.0,11.0,51.0,23.0,32.0,42.0,24.0,35.0,22.0,18.0,17.0,11.0,31.0,12.0,44.0,30.0,31.0,20.0,26.0,23.0,19.0,12.0,28.0,11.0,12.0,34.0,34.0,39.0,30.0,31.0,23.0,18.0,11.0,19.0,18.0,52.0,16.0,20.0,48.0
2.25,57.0,40.0,43.0,40.0,45.0,74.0,43.0,47.0,52.0,53.0,51.0,90.0,54.0,57.0,25.0,32.0,48.0,34.0,31.0,22.0,24.0,27.0,35.0,26.0,50.0,35.0,36.0,42.0,41.0,31.0,47.0,38.0,34.0,40.0,33.0,22.0,51.0,21.0,32.0,25.0,28.0,20.0,46.0,29.0,34.0,22.0,12.0,38.0,36.0,32.0,11.0,28.0,60.0,11.0,22.0,16.0,27.0,22.0,11.0,58.0,32.0,40.0,55.0,29.0,40.0,27.0,19.0,17.0,11.0,34.0,11.0,51.0,39.0,40.0,25.0,31.0,24.0,23.0,13.0,31.0,11.0,13.0,34.0,38.0,47.0,42.0,36.0,31.0,20.0,17.0,21.0,20.0,53.0,21.0,23.0,53.0
