Model Type,Data Type,Prediction,Accuracy
Random Forest,K-mer Count,All Hosts,0.458333333333
Random Forest,K-mer Count,All Hosts,0.375
Random Forest,K-mer Count,All Hosts,0.458333333333
Random Forest,K-mer Count,All Hosts,0.583333333333
Random Forest,K-mer Count,All Hosts,0.541666666667
Random Forest,K-mer Count,All Hosts,0.458333333333
Random Forest,K-mer Count,All Hosts,0.375
Random Forest,K-mer Count,All Hosts,0.291666666667
Random Forest,K-mer Count,All Hosts,0.5
Random Forest,K-mer Count,All Hosts,0.541666666667
Random Forest,K-mer Count,All O Types,0.724137931034
Random Forest,K-mer Count,All O Types,0.793103448276
Random Forest,K-mer Count,All O Types,0.793103448276
Random Forest,K-mer Count,All O Types,0.724137931034
Random Forest,K-mer Count,All O Types,0.724137931034
Random Forest,K-mer Count,All O Types,0.827586206897
Random Forest,K-mer Count,All O Types,0.724137931034
Random Forest,K-mer Count,All O Types,0.827586206897
Random Forest,K-mer Count,All O Types,0.827586206897
Random Forest,K-mer Count,All O Types,0.827586206897
Random Forest,K-mer Count,All H Types,0.677419354839
Random Forest,K-mer Count,All H Types,0.774193548387
Random Forest,K-mer Count,All H Types,0.806451612903
Random Forest,K-mer Count,All H Types,0.709677419355
Random Forest,K-mer Count,All H Types,0.838709677419
Random Forest,K-mer Count,All H Types,0.806451612903
Random Forest,K-mer Count,All H Types,0.774193548387
Random Forest,K-mer Count,All H Types,0.806451612903
Random Forest,K-mer Count,All H Types,0.870967741935
Random Forest,K-mer Count,All H Types,0.741935483871
Random Forest,K-mer Count,All Serotypes,0.75
Random Forest,K-mer Count,All Serotypes,0.75
Random Forest,K-mer Count,All Serotypes,0.6875
Random Forest,K-mer Count,All Serotypes,0.71875
Random Forest,K-mer Count,All Serotypes,0.6875
Random Forest,K-mer Count,All Serotypes,0.78125
Random Forest,K-mer Count,All Serotypes,0.65625
Random Forest,K-mer Count,All Serotypes,0.6875
Random Forest,K-mer Count,All Serotypes,0.75
Random Forest,K-mer Count,All Serotypes,0.78125
Random Forest,Omnilog AUC,All Hosts,0.541666666667
Random Forest,Omnilog AUC,All Hosts,0.391304347826
Random Forest,Omnilog AUC,All Hosts,0.708333333333
Random Forest,Omnilog AUC,All Hosts,0.375
Random Forest,Omnilog AUC,All Hosts,0.333333333333
Random Forest,Omnilog AUC,All Hosts,0.608695652174
Random Forest,Omnilog AUC,All Hosts,0.541666666667
Random Forest,Omnilog AUC,All Hosts,0.541666666667
Random Forest,Omnilog AUC,All Hosts,0.5
Random Forest,Omnilog AUC,All Hosts,0.625
Random Forest,Omnilog AUC,All O Types,0.689655172414
Random Forest,Omnilog AUC,All O Types,0.551724137931
Random Forest,Omnilog AUC,All O Types,0.586206896552
Random Forest,Omnilog AUC,All O Types,0.642857142857
Random Forest,Omnilog AUC,All O Types,0.586206896552
Random Forest,Omnilog AUC,All O Types,0.689655172414
Random Forest,Omnilog AUC,All O Types,0.620689655172
Random Forest,Omnilog AUC,All O Types,0.620689655172
Random Forest,Omnilog AUC,All O Types,0.551724137931
Random Forest,Omnilog AUC,All O Types,0.655172413793
Random Forest,Omnilog AUC,All H Types,0.677419354839
Random Forest,Omnilog AUC,All H Types,0.645161290323
Random Forest,Omnilog AUC,All H Types,0.58064516129
Random Forest,Omnilog AUC,All H Types,0.709677419355
Random Forest,Omnilog AUC,All H Types,0.612903225806
Random Forest,Omnilog AUC,All H Types,0.612903225806
Random Forest,Omnilog AUC,All H Types,0.677419354839
Random Forest,Omnilog AUC,All H Types,0.612903225806
Random Forest,Omnilog AUC,All H Types,0.741935483871
Random Forest,Omnilog AUC,All H Types,0.612903225806
Random Forest,Omnilog AUC,All Serotypes,0.5625
Random Forest,Omnilog AUC,All Serotypes,0.5625
Random Forest,Omnilog AUC,All Serotypes,0.5625
Random Forest,Omnilog AUC,All Serotypes,0.5625
Random Forest,Omnilog AUC,All Serotypes,0.58064516129
Random Forest,Omnilog AUC,All Serotypes,0.59375
Random Forest,Omnilog AUC,All Serotypes,0.53125
Random Forest,Omnilog AUC,All Serotypes,0.58064516129
Random Forest,Omnilog AUC,All Serotypes,0.58064516129
Random Forest,Omnilog AUC,All Serotypes,0.59375
Support Vector Machine,K-mer Count,All Hosts,0.25
Support Vector Machine,K-mer Count,All Hosts,0.375
Support Vector Machine,K-mer Count,All Hosts,0.458333333333
Support Vector Machine,K-mer Count,All Hosts,0.416666666667
Support Vector Machine,K-mer Count,All Hosts,0.583333333333
Support Vector Machine,K-mer Count,All Hosts,0.291666666667
Support Vector Machine,K-mer Count,All Hosts,0.416666666667
Support Vector Machine,K-mer Count,All Hosts,0.333333333333
Support Vector Machine,K-mer Count,All Hosts,0.458333333333
Support Vector Machine,K-mer Count,All Hosts,0.333333333333
Support Vector Machine,K-mer Count,All O Types,0.896551724138
Support Vector Machine,K-mer Count,All O Types,0.793103448276
Support Vector Machine,K-mer Count,All O Types,0.827586206897
Support Vector Machine,K-mer Count,All O Types,0.827586206897
Support Vector Machine,K-mer Count,All O Types,0.862068965517
Support Vector Machine,K-mer Count,All O Types,0.896551724138
