,Model Type,Data Type,Serotype,Accuracy
0,Neural Network,Omnilog AUC,O103:H2,0.896551724138
1,Neural Network,Omnilog AUC,O103:H2,0.931034482759
2,Neural Network,Omnilog AUC,O103:H2,0.896551724138
3,Neural Network,Omnilog AUC,O103:H2,0.965517241379
4,Neural Network,Omnilog AUC,O103:H2,0.931034482759
5,Neural Network,Omnilog AUC,O103:H2,0.931034482759
6,Neural Network,Omnilog AUC,O103:H2,0.964285714286
7,Neural Network,Omnilog AUC,O103:H2,0.931034482759
8,Neural Network,Omnilog AUC,O103:H2,1.0
9,Neural Network,Omnilog AUC,O103:H2,0.965517241379
10,Neural Network,Omnilog AUC,O113:H21,0.931034482759
11,Neural Network,Omnilog AUC,O113:H21,0.931034482759
12,Neural Network,Omnilog AUC,O113:H21,0.931034482759
13,Neural Network,Omnilog AUC,O113:H21,0.928571428571
14,Neural Network,Omnilog AUC,O113:H21,0.931034482759
15,Neural Network,Omnilog AUC,O113:H21,0.931034482759
16,Neural Network,Omnilog AUC,O113:H21,0.928571428571
17,Neural Network,Omnilog AUC,O113:H21,0.931034482759
18,Neural Network,Omnilog AUC,O113:H21,0.931034482759
19,Neural Network,Omnilog AUC,O113:H21,0.931034482759
20,Neural Network,Omnilog AUC,O121:H19,0.964285714286
21,Neural Network,Omnilog AUC,O121:H19,0.964285714286
22,Neural Network,Omnilog AUC,O121:H19,1.0
23,Neural Network,Omnilog AUC,O121:H19,0.964285714286
24,Neural Network,Omnilog AUC,O121:H19,0.964285714286
25,Neural Network,Omnilog AUC,O121:H19,1.0
26,Neural Network,Omnilog AUC,O121:H19,1.0
27,Neural Network,Omnilog AUC,O121:H19,0.964285714286
28,Neural Network,Omnilog AUC,O121:H19,1.0
29,Neural Network,Omnilog AUC,O121:H19,0.964285714286
30,Neural Network,Omnilog AUC,O145:NM,0.965517241379
31,Neural Network,Omnilog AUC,O145:NM,0.965517241379
32,Neural Network,Omnilog AUC,O145:NM,0.931034482759
33,Neural Network,Omnilog AUC,O145:NM,0.965517241379
34,Neural Network,Omnilog AUC,O145:NM,0.965517241379
35,Neural Network,Omnilog AUC,O145:NM,0.965517241379
36,Neural Network,Omnilog AUC,O145:NM,0.965517241379
37,Neural Network,Omnilog AUC,O145:NM,0.931034482759
38,Neural Network,Omnilog AUC,O145:NM,0.964285714286
39,Neural Network,Omnilog AUC,O145:NM,0.965517241379
40,Neural Network,Omnilog AUC,O157:H7,1.0
41,Neural Network,Omnilog AUC,O157:H7,0.965517241379
42,Neural Network,Omnilog AUC,O157:H7,1.0
43,Neural Network,Omnilog AUC,O157:H7,0.965517241379
44,Neural Network,Omnilog AUC,O157:H7,0.931034482759
45,Neural Network,Omnilog AUC,O157:H7,0.964285714286
46,Neural Network,Omnilog AUC,O157:H7,0.931034482759
47,Neural Network,Omnilog AUC,O157:H7,0.965517241379
48,Neural Network,Omnilog AUC,O157:H7,0.965517241379
49,Neural Network,Omnilog AUC,O157:H7,0.931034482759
50,Neural Network,Omnilog AUC,O26:H11,1.0
51,Neural Network,Omnilog AUC,O26:H11,0.928571428571
52,Neural Network,Omnilog AUC,O26:H11,0.964285714286
53,Neural Network,Omnilog AUC,O26:H11,0.928571428571
54,Neural Network,Omnilog AUC,O26:H11,0.928571428571
55,Neural Network,Omnilog AUC,O26:H11,0.892857142857
56,Neural Network,Omnilog AUC,O26:H11,0.964285714286
57,Neural Network,Omnilog AUC,O26:H11,0.962962962963
58,Neural Network,Omnilog AUC,O26:H11,0.892857142857
59,Neural Network,Omnilog AUC,O26:H11,0.928571428571
60,Neural Network,Omnilog AUC,O45:H2,0.931034482759
