,Model Type,Data Type,Otype,Accuracy
0,Support Vector Machine,K-mer Count,O103,0.928571428571
1,Support Vector Machine,K-mer Count,O103,0.928571428571
2,Support Vector Machine,K-mer Count,O103,1.0
3,Support Vector Machine,K-mer Count,O103,1.0
4,Support Vector Machine,K-mer Count,O103,1.0
5,Support Vector Machine,K-mer Count,O103,1.0
6,Support Vector Machine,K-mer Count,O103,0.964285714286
7,Support Vector Machine,K-mer Count,O103,0.964285714286
8,Support Vector Machine,K-mer Count,O103,1.0
9,Support Vector Machine,K-mer Count,O103,0.964285714286
10,Support Vector Machine,K-mer Count,O104,0.931034482759
11,Support Vector Machine,K-mer Count,O104,0.931034482759
12,Support Vector Machine,K-mer Count,O104,0.965517241379
13,Support Vector Machine,K-mer Count,O104,0.896551724138
14,Support Vector Machine,K-mer Count,O104,0.965517241379
15,Support Vector Machine,K-mer Count,O104,0.965517241379
16,Support Vector Machine,K-mer Count,O104,0.931034482759
17,Support Vector Machine,K-mer Count,O104,0.965517241379
18,Support Vector Machine,K-mer Count,O104,0.965517241379
19,Support Vector Machine,K-mer Count,O104,0.931034482759
20,Support Vector Machine,K-mer Count,O111,0.965517241379
21,Support Vector Machine,K-mer Count,O111,1.0
22,Support Vector Machine,K-mer Count,O111,0.931034482759
23,Support Vector Machine,K-mer Count,O111,1.0
24,Support Vector Machine,K-mer Count,O111,0.965517241379
25,Support Vector Machine,K-mer Count,O111,0.965517241379
26,Support Vector Machine,K-mer Count,O111,0.965517241379
27,Support Vector Machine,K-mer Count,O111,0.965517241379
28,Support Vector Machine,K-mer Count,O111,1.0
29,Support Vector Machine,K-mer Count,O111,1.0
30,Support Vector Machine,K-mer Count,O113,0.964285714286
31,Support Vector Machine,K-mer Count,O113,0.964285714286
32,Support Vector Machine,K-mer Count,O113,0.964285714286
33,Support Vector Machine,K-mer Count,O113,1.0
34,Support Vector Machine,K-mer Count,O113,0.964285714286
35,Support Vector Machine,K-mer Count,O113,0.964285714286
36,Support Vector Machine,K-mer Count,O113,1.0
37,Support Vector Machine,K-mer Count,O113,0.964285714286
38,Support Vector Machine,K-mer Count,O113,0.964285714286
39,Support Vector Machine,K-mer Count,O113,0.928571428571
40,Support Vector Machine,K-mer Count,O121,0.931034482759
41,Support Vector Machine,K-mer Count,O121,0.965517241379
42,Support Vector Machine,K-mer Count,O121,0.896551724138
43,Support Vector Machine,K-mer Count,O121,0.965517241379
44,Support Vector Machine,K-mer Count,O121,0.931034482759
45,Support Vector Machine,K-mer Count,O121,0.965517241379
46,Support Vector Machine,K-mer Count,O121,0.965517241379
47,Support Vector Machine,K-mer Count,O121,1.0
