,Model Type,Data Type,Htype,Accuracy
0,Neural Network,K-mer Count,H11,1.0
1,Neural Network,K-mer Count,H11,0.965517241379
2,Neural Network,K-mer Count,H11,1.0
3,Neural Network,K-mer Count,H11,0.965517241379
4,Neural Network,K-mer Count,H11,0.965517241379
5,Neural Network,K-mer Count,H11,0.965517241379
6,Neural Network,K-mer Count,H11,0.931034482759
7,Neural Network,K-mer Count,H11,0.931034482759
8,Neural Network,K-mer Count,H11,1.0
9,Neural Network,K-mer Count,H11,1.0
10,Neural Network,K-mer Count,H19,1.0
11,Neural Network,K-mer Count,H19,0.965517241379
12,Neural Network,K-mer Count,H19,1.0
13,Neural Network,K-mer Count,H19,1.0
14,Neural Network,K-mer Count,H19,1.0
15,Neural Network,K-mer Count,H19,1.0
16,Neural Network,K-mer Count,H19,1.0
17,Neural Network,K-mer Count,H19,1.0
18,Neural Network,K-mer Count,H19,1.0
19,Neural Network,K-mer Count,H19,1.0
20,Neural Network,K-mer Count,H2,0.931034482759
21,Neural Network,K-mer Count,H2,0.965517241379
22,Neural Network,K-mer Count,H2,0.896551724138
23,Neural Network,K-mer Count,H2,1.0
24,Neural Network,K-mer Count,H2,0.965517241379
25,Neural Network,K-mer Count,H2,0.965517241379
26,Neural Network,K-mer Count,H2,0.896551724138
27,Neural Network,K-mer Count,H2,0.931034482759
28,Neural Network,K-mer Count,H2,0.965517241379
29,Neural Network,K-mer Count,H2,0.931034482759
30,Neural Network,K-mer Count,H21,1.0
31,Neural Network,K-mer Count,H21,1.0
32,Neural Network,K-mer Count,H21,0.965517241379
33,Neural Network,K-mer Count,H21,1.0
34,Neural Network,K-mer Count,H21,0.931034482759
35,Neural Network,K-mer Count,H21,0.896551724138
36,Neural Network,K-mer Count,H21,0.965517241379
37,Neural Network,K-mer Count,H21,1.0
38,Neural Network,K-mer Count,H21,0.965517241379
39,Neural Network,K-mer Count,H21,0.931034482759
40,Neural Network,K-mer Count,H7,0.896551724138
41,Neural Network,K-mer Count,H7,0.931034482759
42,Neural Network,K-mer Count,H7,0.965517241379
43,Neural Network,K-mer Count,H7,0.931034482759
44,Neural Network,K-mer Count,H7,0.965517241379
45,Neural Network,K-mer Count,H7,0.965517241379
46,Neural Network,K-mer Count,H7,0.931034482759
47,Neural Network,K-mer Count,H7,0.793103448276
48,Neural Network,K-mer Count,H7,1.0
49,Neural Network,K-mer Count,H7,0.965517241379
50,Neural Network,K-mer Count,NM,0.821428571429
51,Neural Network,K-mer Count,NM,0.892857142857
52,Neural Network,K-mer Count,NM,0.928571428571
53,Neural Network,K-mer Count,NM,0.964285714286
54,Neural Network,K-mer Count,NM,0.892857142857
55,Neural Network,K-mer Count,NM,0.928571428571
56,Neural Network,K-mer Count,NM,0.857142857143
57,Neural Network,K-mer Count,NM,0.928571428571
58,Neural Network,K-mer Count,NM,0.928571428571
59,Neural Network,K-mer Count,NM,0.928571428571
60,Random Forest,K-mer Count,H11,0.931034482759
61,Random Forest,K-mer Count,H11,0.931034482759
62,Random Forest,K-mer Count,H11,0.965517241379
63,Random Forest,K-mer Count,H11,0.965517241379
64,Random Forest,K-mer Count,H11,0.931034482759
65,Random Forest,K-mer Count,H11,0.896551724138
66,Random Forest,K-mer Count,H11,0.931034482759
67,Random Forest,K-mer Count,H11,0.931034482759
68,Random Forest,K-mer Count,H11,0.931034482759
69,Random Forest,K-mer Count,H11,0.931034482759
70,Random Forest,K-mer Count,H19,0.965517241379
71,Random Forest,K-mer Count,H19,0.931034482759
72,Random Forest,K-mer Count,H19,0.965517241379
73,Random Forest,K-mer Count,H19,1.0
74,Random Forest,K-mer Count,H19,0.931034482759
75,Random Forest,K-mer Count,H19,0.965517241379
76,Random Forest,K-mer Count,H19,0.965517241379
77,Random Forest,K-mer Count,H19,0.931034482759
78,Random Forest,K-mer Count,H19,1.0
79,Random Forest,K-mer Count,H19,0.965517241379
80,Random Forest,K-mer Count,H2,0.896551724138
81,Random Forest,K-mer Count,H2,0.931034482759
82,Random Forest,K-mer Count,H2,0.896551724138
83,Random Forest,K-mer Count,H2,0.862068965517
84,Random Forest,K-mer Count,H2,1.0
85,Random Forest,K-mer Count,H2,0.931034482759
86,Random Forest,K-mer Count,H2,0.931034482759
87,Random Forest,K-mer Count,H2,0.931034482759
88,Random Forest,K-mer Count,H2,0.965517241379
89,Random Forest,K-mer Count,H2,0.896551724138
90,Random Forest,K-mer Count,H21,0.965517241379
91,Random Forest,K-mer Count,H21,0.965517241379
92,Random Forest,K-mer Count,H21,0.896551724138
93,Random Forest,K-mer Count,H21,0.965517241379
94,Random Forest,K-mer Count,H21,0.965517241379
95,Random Forest,K-mer Count,H21,0.896551724138
96,Random Forest,K-mer Count,H21,0.896551724138
97,Random Forest,K-mer Count,H21,1.0
98,Random Forest,K-mer Count,H21,0.862068965517
99,Random Forest,K-mer Count,H21,0.965517241379
100,Random Forest,K-mer Count,H7,0.896551724138
101,Random Forest,K-mer Count,H7,0.896551724138
102,Random Forest,K-mer Count,H7,0.862068965517
103,Random Forest,K-mer Count,H7,0.931034482759
104,Random Forest,K-mer Count,H7,0.931034482759
105,Random Forest,K-mer Count,H7,0.965517241379
106,Random Forest,K-mer Count,H7,1.0
107,Random Forest,K-mer Count,H7,0.896551724138
108,Random Forest,K-mer Count,H7,0.965517241379
109,Random Forest,K-mer Count,H7,0.896551724138
110,Random Forest,K-mer Count,NM,0.928571428571
111,Random Forest,K-mer Count,NM,0.964285714286
112,Random Forest,K-mer Count,NM,0.928571428571
113,Random Forest,K-mer Count,NM,0.928571428571
114,Random Forest,K-mer Count,NM,0.928571428571
115,Random Forest,K-mer Count,NM,0.821428571429
116,Random Forest,K-mer Count,NM,0.964285714286
117,Random Forest,K-mer Count,NM,0.892857142857
118,Random Forest,K-mer Count,NM,0.892857142857
119,Random Forest,K-mer Count,NM,0.857142857143
120,Support Vector Machine,K-mer Count,H11,0.965517241379
121,Support Vector Machine,K-mer Count,H11,0.965517241379
122,Support Vector Machine,K-mer Count,H11,0.965517241379
123,Support Vector Machine,K-mer Count,H11,0.965517241379
124,Support Vector Machine,K-mer Count,H11,0.965517241379
125,Support Vector Machine,K-mer Count,H11,0.965517241379
126,Support Vector Machine,K-mer Count,H11,1.0
127,Support Vector Machine,K-mer Count,H11,0.965517241379
128,Support Vector Machine,K-mer Count,H11,1.0
129,Support Vector Machine,K-mer Count,H11,0.931034482759
130,Support Vector Machine,K-mer Count,H19,1.0
131,Support Vector Machine,K-mer Count,H19,1.0
132,Support Vector Machine,K-mer Count,H19,1.0
133,Support Vector Machine,K-mer Count,H19,0.931034482759
134,Support Vector Machine,K-mer Count,H19,0.965517241379
135,Support Vector Machine,K-mer Count,H19,1.0
136,Support Vector Machine,K-mer Count,H19,0.965517241379
137,Support Vector Machine,K-mer Count,H19,1.0
138,Support Vector Machine,K-mer Count,H19,0.965517241379
139,Support Vector Machine,K-mer Count,H19,0.965517241379
140,Support Vector Machine,K-mer Count,H2,0.931034482759
141,Support Vector Machine,K-mer Count,H2,0.965517241379
142,Support Vector Machine,K-mer Count,H2,1.0
143,Support Vector Machine,K-mer Count,H2,0.931034482759
144,Support Vector Machine,K-mer Count,H2,0.965517241379
145,Support Vector Machine,K-mer Count,H2,0.965517241379
146,Support Vector Machine,K-mer Count,H2,0.931034482759
147,Support Vector Machine,K-mer Count,H2,0.965517241379
148,Support Vector Machine,K-mer Count,H2,1.0
149,Support Vector Machine,K-mer Count,H2,0.965517241379
150,Support Vector Machine,K-mer Count,H21,0.965517241379
151,Support Vector Machine,K-mer Count,H21,0.965517241379
152,Support Vector Machine,K-mer Count,H21,0.965517241379
153,Support Vector Machine,K-mer Count,H21,0.965517241379
154,Support Vector Machine,K-mer Count,H21,0.965517241379
155,Support Vector Machine,K-mer Count,H21,0.965517241379
156,Support Vector Machine,K-mer Count,H21,1.0
157,Support Vector Machine,K-mer Count,H21,0.827586206897
158,Support Vector Machine,K-mer Count,H21,1.0
159,Support Vector Machine,K-mer Count,H21,0.965517241379
160,Support Vector Machine,K-mer Count,H7,0.896551724138
161,Support Vector Machine,K-mer Count,H7,1.0
162,Support Vector Machine,K-mer Count,H7,0.965517241379
163,Support Vector Machine,K-mer Count,H7,0.827586206897
164,Support Vector Machine,K-mer Count,H7,0.965517241379
