Number	Name
1	ECI_0272
2	ECI_1146_contigs
3	ECI_1156_contigs
4	ECI_123_contigs
5	ECI_132_contigs
6	ECI_1364_contigs
7	ECI_1437_contigs
8	ECI_15_contigs
9	ECI_1618_contigs
10	ECI_1717
11	ECI_1718_contigs
12	ECI_1830_contigs
13	ECI_1839_contigs
14	ECI_1848_contigs
15	ECI_1853_contigs
16	ECI_1854_contigs
17	ECI_1856_contigs
18	ECI_1858_contigs
19	ECI_1862_contigs
20	ECI_1864
21	ECI_1871_contigs
22	ECI_1907
23	ECI_1908
24	ECI_1909
25	ECI_1910
26	ECI_1911
27	ECI_1912
28	ECI_1914
29	ECI_2121_contigs
30	ECI_217_contigs
31	ECI_2223_contigs
32	ECI_2307_contigs
33	ECI_2309_contigs
34	ECI_2315_contigs
35	ECI_2324_contigs
36	ECI_2355_contigs
37	ECI_2358_contigs
38	ECI_2359_contigs
39	ECI_2386_contigs
40	ECI_2403_contigs
41	ECI_249_contigs
42	ECI_2571_Sorted_contigs
43	ECI_2572_contigs
44	ECI_2577_contigs
45	ECI_2578_contigs
46	ECI_2579_contigs
47	ECI_258
48	ECI_2585_contigs
49	ECI_2591_contigs
50	ECI_2592_contigs
51	ECI_2595_contigs
52	ECI_2597_contigs
53	ECI_2599_contigs
54	ECI_2600_contigs
55	ECI_2602_contigs
56	ECI_2603_contigs
57	ECI_2604_contigs
58	ECI_2605_contigs
59	ECI_2606_contigs
60	ECI_2607_contigs
61	ECI_2608_contigs
62	ECI_2609_contigs
63	ECI_2615_contigs
64	ECI_2616_contigs
65	ECI_2617_contigs
66	ECI_2618_contigs
67	ECI_2626_contigs
68	ECI_2632_contigs
69	ECI_2634_contigs
70	ECI_2637_contigs
71	ECI_2638_contigs
72	ECI_2640_contigs
73	ECI_2642_contigs
74	ECI_2644_contigs
75	ECI_2681_contigs
76	ECI_2688
77	ECI_2699_contigs
78	ECI_2701_contigs
79	ECI_270_contigs
80	ECI_2754
81	ECI_2795
82	ECI_2836_contigs
83	ECI_2856_contigs
84	ECI_2859_contigs
85	ECI_2895
86	ECI_2969
87	ECI_2978_contigs
88	ECI_2979
89	ECI_2980_contigs
90	ECI_2995
91	ECI_3004_contigs
92	ECI_3005_contigs
93	ECI_3006_contigs
94	ECI_3033_contigs
95	ECI_3034_contigs
96	ECI_3035_contigs
97	ECI_3065_contigs
98	ECI_351_contigs
99	ECI_357_contigs
100	ECI_497
101	ECI_504
102	ECI_715_contigs
103	ECI_855_contigs
104	ECI_857
105	ECI_882
106	ECI_887_contigs
107	ECI_8_contigs
108	EDL933
109	FWS_EC_0002
110	FWS_EC_0003
111	FWS_EC_0006
112	FWS_EC_0007
113	FWS_EC_0010
114	FWS_EC_0022
115	FWS_EC_0024
116	FWS_EC_0025
117	FWS_EC_0027
118	FWS_EC_0029
119	FWS_EC_0030
120	FWS_EC_0031
121	FWS_EC_0032
122	FWS_EC_0033
123	FWS_EC_0034
124	FWS_EC_0037
125	FWS_EC_0040
126	FWS_EC_0041
127	FWS_EC_0042
128	FWS_EC_0043
129	FWS_EC_0045
130	FWS_EC_0046
131	FWS_EC_0047
132	FWS_EC_0048
133	FWS_EC_0049
134	ON_2011
135	Sakai
