,Strain,Otype,Htype,Serotype,Host,WGS,LSPA6
0,07-2890-contigs-all,O121,H30,O121:NM,Human,1,N/A
1,07-3253-contigs-all,O121,H30,O121:NM,Human,1,N/A
2,08-6168-contigs-all,O121,H19,O121:NM,Human,1,N/A
3,09-2554-contigs-all,O113,H21,O113:H21,Human,1,N/A
4,09-2555-contigs-all,O91,H21,O91:H21,Human,1,N/A
5,09-4545-contigs-all,O17,H2,O73:H2,Human,1,N/A
6,10-0932-contigs-all,O8,H21,O8:H21,Human,1,N/A
7,10-4034-contigs-all,O104,H4,O104:H4,Human,1,N/A
8,11-3088-contigs-all,O104,H4,O104:H4,Human,1,N/A
9,11-3089-contigs-all,O104,H4,O104:H4,Human,1,N/A
10,11-4310-contigs-all,O121,H30,O121:NM,Human,1,N/A
11,11-7440-contigs-all,O165,H25,O165:H25,Human,1,N/A
12,11-7441-contigs-all,O165,H25,O165:H25,Human,1,N/A
13,12-4396-contigs-all,O185,H7,O185:H7,Human,1,N/A
14,12-5173-contigs-all,O165,H25,O165:H25,Human,1,N/A
15,12-5574-contigs-all,O185,H7,O185:H7,Human,1,N/A
16,12-7904-contigs-all,O121,H19,O121:NM,Human,1,N/A
17,13-0358-contigs-all,O121,H30,O121:NM,Human,1,N/A
18,13-3660-contigs-all,O104,H4,O104:H4,Human,1,N/A
19,13-3782-contigs-all,O8,H9,O8:H21,Human,1,N/A
20,13-4811-contigs-all,O104,H4,O104:H4,Human,1,N/A
21,13-6967-contigs-all,O145,H25,O145:H25,Human,1,N/A
22,18-0048-contigs-all,O103,H11,O103:H11,Human,1,N/A
23,18-2852-contigs-all,O145,H25,O145:H25,Human,1,N/A
24,18-4816-contigs-all,O45,H2,O45:H2,Human,1,N/A
25,18-5810-contigs-all,O45,H2,O111:H8,Human,1,N/A
26,18-7689-contigs-all,O111,H8,O103:H11,Human,1,N/A
27,18-7699-contigs-all,O103,H11,O103:H11,Human,1,N/A
28,18-8120-contigs-all,O111,H8,O111:H8,Human,1,N/A
29,18-8256-contigs-all,O103,H11,O103:H11,Human,1,N/A
30,18-8961-contigs-all,O45,H2,O45:H2,Human,1,N/A
31,18-8969-contigs-all,O145,H28,O145:NM,Human,1,N/A
32,,,,,Human,1,N/A
33,18-8970-contigs-all,O145,H28,O145:NM,Human,1,N/A
34,18-9152-contigs-all,O145,H28,O145:NM,Human,1,N/A
35,18-9154-contigs-all,O145,H28,O145:NM,Human,1,N/A
